DirectoryCombine.py

358 assays were A assays that had a numerical CT for every patient

 Well     Target Name                   Chi-Squared         
22|*******
23|******
24|**
25|***
26|**


hsa-mir-1976

15|**
17|******
18|***
19|*
20|*
21|*******
22|****
23|******
24|***
25|*
26|*
34|*


hsa-mir-130b-3p

15|*
16|*
17|***
18|*****
19|*****
20|******
21|***
22|**
23|******
24|*
25|**
26|*


hsa-mir-196b-3p

18|**
19|***
20|*
21|*****
22|**
23|*****
24|***
25|****
26|******
27|**
28|***


hsa-mir-134

18|*
19|*
20|*****
21|****
22|*
23|*
24|******
25|*********
26|***
27|***
28|*
29|*


hsa-mir-1233-3p

15|**
16|***
17|*****
18|**
19|*
20|**
21|********
22|****
23|*****
25|***
28|*


hsa-mir-146a-5p

18|**
19|*******
20|*****
21|*******
22|*****
23|*****
24|****
25|*


hsa-mir-3655

19|***
20|****
21|***
22|**
23|****
24|*****
25|*******
26|****
27|*
28|**
30|*


hsa-mir-335-5p

16|*
17|*
18|*
19|******
20|***
21|**
22|*****
23|***
24|****
25|*****
26|****
27|*


hsa-mir-596

15|**
16|***
17|****
18|***
19|*
20|***
21|*******
22|****
23|***
24|***
25|**
29|*


hsa-mir-532-5p

20|***
21|*****
22|*****
23|***
24|****
25|******
26|*******
27|*
28|**


hsa-mir-1247-5p

15|*
16|**
17|****
18|***
19|****
20|*******
21|****
22|*****
23|***
24|**
26|*


hsa-mir-16-2-3p

21|******
22|*****
23|*********
24|****
25|*****
26|****
27|***


hsa-mir-1286

17|*
18|*
19|*****
20|****
21|*
22|*
23|***
24|********
25|*
26|******
27|**
28|*
29|*
32|*


hsa-mir-124-3p

18|**
20|******
21|***
22|*
23|*
24|******
25|******
26|********
27|**
29|*


hsa-mir-664a-3p

19|**
20|**
21|*****
22|***
23|*
24|*******
25|*****
26|*******
27|***
28|*


hsa-mir-7-2-3p

20|**
21|****
22|***
23|***************
24|**********
25|**


hsa-mir-20b-5p

15|*
17|*
18|***
19|*********
20|***
21|****
22|******
23|******
24|***


hsa-mir-30d-5p

14|*
15|**
17|*
18|***
19|****
20|******
21|*****
22|*******
23|**
24|***
25|**


hsa-mir-378i

18|****
19|**
20|*
21|*****
22|***
23|***
24|***
25|*****
26|**
27|****
28|**
29|*
30|*


SNORD61

17|*
18|***
19|*
20|**
21|******
22|****
23|*****
24|****
25|*****
26|**
27|**
33|*


hsa-mir-4289

18|*
19|**
20|***
21|****
22|****
23|**
24|*****
25|***
26|*****
27|****
28|*
29|*
32|*


hsa-mir-196b-5p

19|**
21|*******
22|***
23|**
24|***
25|*******
26|**********
28|*
30|*


hsa-mir-142-5p

17|*
18|*
19|*
20|******
21|************
22|****
23|*****
24|*
25|***
26|**


hsa-mir-219-1-3p

18|**
20|*******
21|**
22|*
23|***
24|****
25|*****
26|******
27|**
28|***
30|*


hsa-mir-1909-5p

15|**
16|****
17|*****
18|*
19|*
20|**
21|********
22|****
23|*****
24|**
25|*
28|*


hsa-mir-107

18|*
19|*
20|*****
21|***
22|****
23|***
24|****
25|*****
26|**
27|***
28|****
30|*


hsa-let-7a-5p

20|**
21|**
22|***********
23|********
24|*******
25|******


hsa-mir-4689

15|**
16|**
17|*****
18|***
19|*
20|****
21|********
22|******
23|*
24|***
28|*


hsa-mir-501-5p

18|**
20|******
21|***
22|**
23|*
24|*******
25|*****
26|***
27|****
28|*
29|*
31|*


hsa-mir-381-3p

17|*
18|*
19|**
20|******
21|*
22|**
23|***
24|******
25|*****
26|***
27|***
28|*
30|*
33|*


hsa-mir-1290

16|*
17|***
18|****
19|***
20|***
21|****
22|***
23|****
24|*
25|**
26|******
27|*
29|*


hsa-mir-877-3p

14|*
15|*
17|*********
18|*
19|*
20|****
21|*******
22|*****
23|***
24|**
25|*
28|*


hsa-mir-17-5p

15|*
17|*
18|*****
19|*******
20|****
21|******
22|*****
23|******
24|*


hsa-mir-34c-3p

15|**
16|***
17|*****
18|**
19|*
20|*****
21|********
22|**
23|****
24|**
25|*
26|*


hsa-mir-185-5p

16|*
17|**
18|******
19|*******
20|**
21|*******
22|*******
23|**
24|**


hsa-mir-93-5p

15|*
17|**
18|*******
19|*****
20|*****
21|****
22|***
23|******
24|**
25|*


hsa-mir-361-5p

18|*
20|****
21|**
22|**
23|*****
24|******
25|*********
26|***
27|***
28|*


hsa-mir-502-3p

19|*
20|****
21|**
22|*******
23|***
24|****
25|*****
26|*
27|*****
28|*
29|**
30|*


hsa-mir-423-3p

15|**
16|****
17|****
18|****
20|*****
21|******
22|******
23|***
25|*
29|*


hsa-mir-142-3p

17|*
18|***
19|*******
20|********
21|********
22|***
23|****
24|*
27|*


hsa-mir-197-3p

15|**
17|********
18|***
19|*
20|****
21|********
22|******
23|***
24|*


hsa-mir-221-3p

15|*
16|*
17|******
18|***
19|****
20|****
21|************
22|*
23|**
24|*
27|*


hsa-mir-17-3p

17|**
18|*
19|****
20|*
21|**
22|***
23|*****
24|*
25|*****
26|*****
27|****
29|**
32|*


hsa-mir-877-5p

15|**
16|****
17|*****
18|*
19|*
20|******
21|*******
22|****
23|**
24|***
26|*


hsa-let-7e-5p

19|*
20|*
21|**
22|******
23|*******
24|*********
25|********
26|**


hsa-mir-631

14|**
16|*****
17|****
18|*
19|*
20|*****
21|******
22|***
23|*****
24|*
25|**
28|*


hsa-mir-503-5p

20|**
21|***
22|******
23|****
24|******
25|**
26|*********
27|***
28|*


hsa-mir-874

19|***
20|**
21|******
22|**
23|*
24|*****
25|*******
26|****
27|***
28|*
29|*
35|*


hsa-mir-152

14|*
15|**
17|***
18|******
19|*
20|*****
21|***
22|***
23|****
24|**
25|****
26|**


hsa-mir-378h

19|*****
20|**
21|**
22|******
23|**
24|**
25|*****
26|***
27|*****
29|***
31|*


hsa-mir-4770

20|**
21|****
22|******
23|*
24|***
25|**********
26|******
27|*
28|**
29|*


hsa-let-7f-1-3p

19|**
20|**
21|*****
22|***
23|****
24|***
25|******
26|****
27|***
28|**
29|**


hsa-mir-598

19|**
21|******
22|*****
24|****
25|******
26|********
27|**
28|**
32|*


SNORD68

19|*
20|**
21|***
22|*******
23|***
24|*****
25|*****
26|******
27|*
28|**
30|*


hsa-mir-326

14|**
16|*****
17|****
18|*
19|*
20|******
21|******
22|****
23|*****
25|*
30|*


hsa-mir-150-5p

16|*
18|**
19|*******
20|**************
21|*******
22|*****


hsa-mir-26b-3p

20|**
21|***
22|********
23|**
24|**
25|***
26|************
27|**
28|*
29|*


hsa-mir-144-5p

21|***
22|*******
23|*****************
24|******
25|***


hsa-mir-629-5p

21|*
22|********
23|*****
24|********
25|*****
26|*******
27|*
28|*


hsa-mir-18a-5p

19|*
20|*
21|***
22|*******
23|****
24|*********
25|****
26|***
27|****


hsa-mir-3131

14|**
16|******
17|***
18|*
19|*
20|******
21|******
22|********
23|**
26|*


hsa-mir-769-5p

18|**
20|******
21|***
22|*
23|*
24|******
25|*****
26|*****
27|*****
29|*
35|*


hsa-mir-7-1-3p

19|*
20|*
21|*****
22|*****
23|**
24|*
25|*******
26|*******
27|***
28|***
31|*


hsa-mir-3622a-5p

14|**
16|******
17|***
18|*
19|*
20|*****
21|********
22|*****
23|*
24|**
25|*
26|*


hsa-mir-10b-5p

22|******
23|***
24|*****************
25|********
26|**


hsa-mir-374b-5p

21|*
22|****
23|*********
24|***********
25|*********
26|**


hsa-mir-3651

20|***
21|**
22|*****
23|*****
24|***
25|*****
26|********
27|***
28|*
33|*


hsa-mir-106b-5p

15|*
16|*
17|********
18|****
19|****
20|***
21|*******
22|******
23|*
25|*


hsa-mir-1910

14|**
16|******
17|***
18|*
19|**
20|*******
21|****
22|******
23|*
24|**
25|*
28|*


hsa-mir-365a-3p

15|*
16|****
18|*
19|**
20|*
21|**
22|****
23|**
24|****
25|********
26|****
27|*
28|*
30|*


hsa-mir-637

17|*
18|*****
19|******
20|******************
21|*****
22|*


hsa-mir-590-5p

18|*
19|**
20|****
21|**
22|***
23|*******
24|******
25|**
26|****
27|***
28|*
36|*


hsa-mir-3141

14|**
16|*******
17|**
18|*
19|*
20|******
21|******
22|*****
23|**
24|**
25|*
27|*


hsa-mir-29c-5p

20|**
21|***
22|*****
23|*****
24|*
25|********
26|*******
27|*
28|**
29|**


hsa-mir-151b

15|***
16|*
17|*******
18|***
19|**
20|********
21|*****
22|*****
23|**


hsa-mir-3923

19|*
20|*
21|****
22|*****
23|**
24|*
25|*******
26|***********
27|***
29|*


hsa-mir-500a-5p

20|**
21|*****
22|****
23|**
24|****
25|******
26|*****
27|*****
28|**
30|*


hsa-mir-191-5p

16|*
17|****
18|*****
19|******
20|***********
21|*****
22|****


hsa-mir-335-3p

19|*
20|*
21|*****
22|****
23|**
24|***
25|*******
26|*****
27|****
28|***
30|*


hsa-mir-483-5p

14|*
15|*
16|****
17|****
18|***
19|*******
20|***
22|***
23|****
24|***
25|*
26|*
27|*


hsa-mir-19b-3p

14|**
15|*
16|**
17|**
18|**
19|***
20|*****
21|******
22|****
23|****
24|***
25|**


hsa-mir-550a-5p

19|*
20|*
21|*******
22|**
23|*
24|**
25|*********
26|***
27|*******
28|***


hsa-mir-19a-3p

14|**
15|*
16|**
17|**
18|*
19|******
20|***
21|*******
22|******
23|*
24|***
25|**


hsa-mir-7-5p

20|*
21|***
22|***
23|********
24|********
25|****
26|*******
27|**


hsa-mir-191-3p

19|**
21|*******
22|**
23|**
24|***
25|*****
26|*********
27|**
28|***
35|*


hsa-mir-490-3p

17|**
18|***
19|**************
20|*************
21|**
22|**


hsa-mir-192-5p

14|****
15|*
16|*
17|**
18|**
19|****
20|***
21|***
22|*****
23|****
24|**
25|****
26|*


hsa-mir-3689a-5p

19|**
21|********
22|**
23|**
24|**
25|********
26|*****
27|**
28|****
30|*


hsa-mir-324-3p

14|**
16|******
17|***
18|***
19|*
20|*******
21|*******
22|***
23|**
24|*
27|*


hsa-mir-4538

14|**
16|******
17|***
18|*
19|*
20|*********
21|******
22|*****
23|***


hsa-mir-193a-5p

14|**
15|*
16|*
17|**
18|********
19|*****
20|**
21|**
22|*
23|***
24|****
25|**
26|***


hsa-mir-331-3p

19|*
20|*
21|****
22|******
23|**
24|*
25|******
26|******
27|******
28|*
30|*
32|*


hsa-mir-199a-5p

19|**
21|****
22|***
23|*******
24|****
25|***
26|********
27|***
28|*
30|*


hsa-let-7b-5p

15|*
16|**
17|**
18|****
19|**********
20|******
21|******
22|****
23|*


hsa-mir-144-3p

14|*
16|*
17|**
18|****
19|***
20|*****
21|*****
22|*******
23|***
24|*
25|***
26|*


SNORD96A

18|*
20|*
21|***
22|***
23|******
24|****
25|****
26|**********
27|*
28|***


hsa-mir-382-5p

21|**
22|***
23|************
24|*******
25|*****
26|*****
27|**


hsa-let-7f-5p

21|*
22|****
23|***********
24|**********
25|********
26|*
27|*


hsa-mir-362-3p

17|*
19|***
20|*
21|***
22|**
23|***
24|***
25|*****
26|*******
27|***
28|***
29|*
30|*


hsa-mir-615-5p

20|**
22|******
23|***
24|**
25|*******
26|************
27|***
28|*


hsa-mir-374a-5p

22|*
23|********
24|***************
25|*********
26|***


hsa-mir-32-5p

18|*
20|*
21|****
22|*
23|******
24|***
25|*******
26|********
27|***
28|*
29|*


hsa-mir-31-5p

19|*
20|*
21|**
22|*******
23|*
24|*
25|*******
26|*****
27|********
28|**
30|*


hsa-mir-328

16|*
17|*
18|****
19|*******
20|***********
21|****
22|***
23|****
24|*


hsa-mir-223-5p

20|*
22|**
23|********
24|***********
25|****
26|*****
27|***
28|**


hsa-mir-181a-5p

21|***
22|*******
23|****
24|*******
25|***
26|**********
27|*
39|*


hsa-mir-4286

14|*
15|**
16|***
17|********
18|**
19|*****
20|****
21|****
22|*****
23|*
27|*


hsa-let-7i-3p

19|**
21|****
22|*****
23|*
24|***
25|****
26|******
27|*****
28|***
29|*
30|*
32|*


hsa-mir-3120-3p

19|**
21|****
22|*****
23|*
24|**
25|******
26|*******
27|*****
28|*
29|**
33|*


hsa-mir-15b-5p

15|*
16|*
17|***
18|******
19|********
20|********
21|********
22|*


hsa-mir-342-5p

21|***
22|**
23|*******
24|***
25|******
26|**
27|********
28|*****


hsa-mir-1183

13|*
14|*
15|***
16|******
17|*
18|*
19|***
20|*******
21|******
22|***
23|**
24|*
26|*


hsa-mir-486-3p

20|*
22|***
23|******
24|*******
25|***********
26|*
27|*******


hsa-let-7i-5p

15|**
16|***
17|****
18|******
19|***
20|********
21|******
22|****


hsa-mir-495-3p

21|**
22|***
23|******
24|***
25|*******
26|********
27|****
28|**
29|*


hsa-mir-363-3p

19|*
20|*
21|**
22|******
23|****
24|******
25|*****
26|**
27|*****
28|**
29|**


hsa-mir-378a-3p

13|*
14|***
15|**
16|*
17|******
18|**
19|****
20|*****
21|**
22|****
23|**
24|***
26|*


hsa-mir-378g

14|*****
15|**
17|******
18|****
19|**
20|*****
21|***
22|*****
24|***
27|*


hsa-mir-181d

21|**
22|*****
23|***
24|*****
25|****
26|*********
27|*****
28|**
32|*


hsa-mir-200c-3p

21|**
22|******
23|***
24|**
25|**
26|************
27|********
30|*


hsa-mir-181c-5p

21|***
22|**
23|******
24|****
25|******
26|******
27|*******
28|*
31|*


hsa-mir-23b-3p

15|***
16|*****
17|*****
18|**
19|*****
20|*****
21|******
22|***
23|*
24|*


hsa-mir-885-5p

13|*
14|**
15|****
16|**
17|***
18|*****
19|****
20|***
22|***
23|*****
24|**
25|*
28|*


hsa-mir-21-3p

20|**
21|****
22|*****
23|**
24|*
25|*****
26|******
27|**
28|*******
31|*
33|*


hsa-mir-23b-5p

20|*****
22|*****
23|****
24|**
25|****
26|***
27|****
28|****
29|***
30|*
33|*


hsa-mir-203a

21|*
22|***
23|*****
24|*******
25|*****
26|*********
27|***
28|**
29|*


hsa-mir-329

20|**
22|*****
23|*****
24|**
25|****
26|********
27|*****
28|**
29|**
31|*


hsa-mir-1225-3p

13|*
14|*
15|****
16|***
17|*****
18|****
19|****
20|***
21|****
22|***
23|***
26|*


hsa-mir-30a-5p

13|***
15|*
16|**
17|****
18|***
19|******
20|***
21|********
22|****
23|*
24|*


hsa-mir-103a-2-5p

19|**
21|***
22|******
23|***
24|*
25|****
26|******
27|****
28|***
29|**
30|*
36|*


hsa-mir-30e-5p

13|***
15|**
16|**
17|***
18|****
19|*****
20|****
21|*******
22|****
23|*
24|*


hsa-mir-409-3p

21|**
22|**
23|*******
24|****
25|*****
26|*******
27|*******
28|*
29|*


hsa-mir-20a-5p

14|*
15|*
16|***
17|*****
18|*******
19|***
20|******
21|*****
22|*****


hsa-mir-26a-5p

17|********
18|*****
19|***************
20|******
21|**


hsa-mir-4651

14|*
15|****
16|**
17|*****
18|****
19|*******
20|*****
21|*****
22|*
23|*
25|*


hsa-mir-138-1-3p

13|**
15|*******
16|***
18|**
19|***
20|*******
21|****
22|****
23|**
25|*
28|*


hsa-mir-23a-3p

16|**
17|****
18|***********
19|*********
20|*******
21|***


hsa-mir-215

18|*
19|**
20|**
21|**
22|*
23|**
24|*******
25|***
26|****
27|*******
28|***
29|*
33|*


hsa-mir-424-5p

16|****
17|****
18|************
19|******
20|*****
21|****
23|*


hsa-mir-133b

18|*
21|**
22|*
23|********
24|**
25|*
26|****
27|*************
28|**
29|**


hsa-mir-99a-5p

11|*
13|*
14|***
15|**
16|****
17|**
18|***
19|***
20|**
21|*****
22|**
23|******
24|*
25|*


hsa-mir-376c-3p

21|*
22|***
23|****
24|*******
25|*******
26|********
27|**
28|***
29|*


hsa-mir-4274

13|**
15|*******
16|***
17|*
18|**
19|*****
20|*****
21|*****
22|**
23|**
24|*
27|*


hsa-mir-320b

13|*
14|*
15|**
16|****
17|******
18|*******
19|**
20|***
21|*****
22|***
23|**


hsa-mir-337-3p

21|**
22|**
23|****
24|*******
25|***
26|********
27|*****
28|***
29|*
31|*


hsa-mir-181c-3p

21|**
23|*********
24|**
25|**
26|*******
27|********
28|****
29|*
31|*


hsa-mir-145-3p

21|**
23|****
24|********
25|***********
26|****
27|***
28|***
29|*


hsa-mir-338-3p

19|*
22|*
23|******
24|*******
25|*******
26|*****
27|****
28|****
30|*


hsa-mir-224-5p

19|*
22|**
23|******
24|****
25|******
26|******
27|*******
28|**
29|**


hsa-mir-204-5p

21|*
22|****
23|**
24|***
25|*****
26|*********
27|*******
28|***
29|**


hsa-mir-25-3p

15|*****
16|***
17|***
18|*****
19|*******
20|****
21|*******
22|*
23|*


hsa-mir-183-3p

21|**
23|*******
24|**
25|**
26|*********
27|**********
28|**
29|**


hsa-mir-484

15|****
16|****
17|********
18|****
19|*****
20|******
21|***
22|*
23|*


hsa-mir-24-3p

13|*
14|**
15|**
16|****
17|***
18|***
19|*******
20|********
21|***
22|*
23|**


hsa-mir-423-5p

13|*
14|*
15|**
16|**
17|********
18|*****
19|*******
20|*****
21|****
22|*


hsa-mir-373-3p

20|*
21|**
22|*****
23|****
24|*
25|*
26|*******
27|********
28|****
30|**
31|*


hsa-mir-4687-5p

12|*
14|**
15|****
17|*****
18|*******
19|*****
20|****
21|*****
22|**
23|*


hsa-mir-126-5p

16|*
17|******
18|************
19|*************
20|***
21|*


hsa-mir-18b-5p

21|**
22|***
23|*******
24|**
25|*
26|*****
27|******
28|*******
29|*
31|*
34|*


hsa-mir-27b-3p

12|*
13|**
14|*
15|**
16|***
17|***
18|***
19|*******
20|**
21|*****
22|*****
24|**


hsa-mir-3200-3p

22|***
23|*****
24|****
25|*****
26|******
27|*******
28|***
29|**
33|*


hsa-mir-766-3p

13|**
15|********
16|**
17|*
18|**
19|********
20|****
21|*****
22|***
23|*


hsa-mir-3653

20|*
22|****
23|**
24|********
25|*****
26|**
27|*****
28|***
29|***
30|***


hsa-mir-454-3p

23|**
24|*******
25|***********
26|**************
27|**


hsa-mir-133a

18|*
20|**
22|****
23|****
24|*
25|**
26|*******
27|******
28|***
29|****
32|*
34|*


hsa-let-7f-2-3p

21|**
22|***
23|****
24|***
25|****
26|****
27|*****
28|******
29|***
30|**


hsa-mir-3646

11|*
12|***
14|*
15|**
16|****
17|****
18|**
19|*
20|****
22|***
23|*****
24|***
25|**
29|*


hsa-mir-100-5p

11|*
13|**
14|***
15|***
16|**
17|***
18|***
19|*****
20|***
21|***
22|******
24|**


hsa-mir-485-5p

20|**
22|*****
23|****
24|*
25|*
26|*******
27|*****
28|*******
29|**
30|*
32|*


hsa-mir-3907

14|*
15|**
16|*****
17|********
18|****
19|*******
20|*****
21|*
22|*
23|*
24|*


hsa-mir-4505

13|**
14|*****
15|***
16|**
17|*
18|*****
19|*****
20|*****
21|****
22|**
23|*
26|*


hsa-mir-542-3p

22|*
23|****
24|******
25|***********
26|***
27|****
28|*****
29|**


hsa-mir-130b-5p

22|**
23|***
24|*********
25|***
27|*********
28|********
29|**


hsa-mir-223-3p

14|*
16|***
17|****
18|*************
19|*********
20|****
21|**


hsa-mir-29a-3p

12|*
13|***
14|**
15|**
16|**
17|****
18|*
19|****
20|******
21|*******
22|**
23|*
24|*


hsa-mir-1260b

13|**
14|***
15|*****
16|**
17|*
18|***
19|**********
20|*****
21|**
22|*
23|*
26|*


hsa-mir-372

20|**
22|*********
24|*
25|*
26|******
27|*****
28|*****
29|****
30|**
33|*


hsa-mir-576-5p

22|***
23|****
24|****
25|****
26|******
27|****
28|********
29|***


hsa-mir-126-3p

16|****
17|******
18|***************
19|*********
20|*
21|*


hsa-mir-373-5p

14|*
15|*
16|****
17|*******
18|**********
19|**
20|****
21|*
22|****
24|**


hsa-mir-1193

21|**
23|*******
24|**
25|**
26|****
27|************
28|*****
30|**


hsa-mir-155-5p

20|*
21|*
23|*
24|**
25|********
26|*************
27|********
28|*
29|*


hsa-mir-3235b

13|**
14|****
15|****
16|**
17|*
18|******
19|*******
20|*****
21|**
22|**
24|*


hsa-mir-200b-3p

22|****
23|*
24|********
25|***
26|****
27|****
28|********
29|**
30|*
31|*


hsa-mir-548e

22|*****
23|***
24|****
25|****
26|***
27|*******
28|*****
29|**
32|***


SNORD95

11|*
13|**
14|***
15|*
16|*******
17|*
18|****
19|**
20|*
21|*****
22|**
23|****
24|*
25|*
30|*


hsa-mir-125b-5p

11|**
12|*
14|*
15|*
16|*******
17|*****
18|***
19|***
20|*
21|***
22|****
23|***
24|*
25|*


hsa-mir-624-5p

21|*
22|***
23|***
24|***
25|******
26|*****
27|****
28|*****
29|***
30|**
31|*


hsa-mir-199b-5p

19|*
22|***
23|**********
24|***
25|******
26|*****
27|**
28|*
29|***
32|*
36|*


hsa-mir-1207-5p

12|**
14|*******
15|**
16|*
17|*
18|******
19|*****
20|****
21|****
22|**
23|*
26|*


hsa-mir-2355-3p

21|*
22|*
23|***
24|******
25|**
26|***
27|***********
28|***
29|*****
32|*


hsa-mir-208a

14|**
15|***
16|***
17|*********
18|*********
19|**
20|***
21|***
22|*
26|*


PPC

17|***
18|********************************
19|*


hsa-mir-499a-5p

19|*
20|**
21|**
22|*
23|**
24|****
25|***
26|*****
27|******
28|*
29|***
30|****
31|*
33|*


hsa-mir-3610

12|**
13|***
15|**
16|*****
17|**
18|*********
19|*****
20|*
21|***
22|***
25|*


hsa-mir-183-5p

22|**
23|*
24|**********
25|**
26|****
27|******
28|********
29|**
30|*


PPC1

17|*
18|**********************************
19|*


hsa-mir-1281

12|*
13|*
14|****
15|*****
16|*
17|***
18|******
19|*****
20|****
21|***
22|**
25|*


hsa-mir-195-5p

12|*
15|*******
16|***
17|***
18|******
19|****
20|*****
21|*****
22|**


hsa-mir-148b-3p

11|***
13|**
14|*
15|**
16|***
17|****
19|*******
20|***
21|******
22|**
23|**
24|*


hsa-mir-206

19|*
20|*
21|*
22|*
23|***
24|******
25|**
26|*
27|********
28|********
29|**
30|*
31|*


hsa-mir-574-3p

12|**
14|*******
15|**
16|**
17|*
18|******
19|*******
20|*****
21|**
23|*
25|*


hsa-mir-194-5p

11|***
13|**
14|**
15|*
16|****
17|*****
18|**
19|****
21|****
22|***
23|***
24|**
26|*


hsa-mir-101-3p

11|*
13|**
14|****
15|***
16|****
17|**
18|*******
20|******
21|****
22|**
24|*


hsa-mir-29c-3p

11|*
12|**
13|***
15|***
16|**
17|****
18|***
19|*****
20|*****
21|****
22|***
24|*


hsa-mir-27a-3p

13|*
14|***
15|***
16|*******
17|****
18|********
19|******
20|**
21|*
22|*


hsa-mir-720

13|**
14|*****
15|*****
16|***
17|*****
18|****
19|**
20|********
21|*
25|*


hsa-mir-140-5p

22|*
24|**
25|*********
26|**
27|*************
28|*****
29|*
30|**
31|*


hsa-mir-1

18|*
19|*
21|*
22|**
25|****
26|********
27|*******
28|********
29|****


hsa-mir-320a

12|*
13|*
14|*****
15|**
16|*******
17|******
18|******
19|****
20|*
21|***


hsa-mir-141-3p

22|**
24|*******
25|****
26|*
27|**
28|*******
29|*******
30|****
31|*
32|*


hsa-mir-361-3p

22|**
23|**
24|**
25|*
26|*******
27|****
28|**********
29|****
30|**
31|**


hsa-mir-369-3p

23|*
24|*****
25|******
26|****
27|********
28|*********
29|*
30|**


hsa-mir-1260a

12|**
13|*
14|********
15|*
16|**
17|********
18|******
19|*****
20|**
24|*


hsa-mir-340-3p

25|*******
26|******
27|***********
28|*******
29|*****


hsa-mir-4454

12|*
13|**
14|**
15|*********
16|****
17|*****
18|******
19|***
20|***
24|*


hsa-mir-1587

11|**
13|******
14|***
15|**
16|**
17|******
18|****
19|******
20|**
21|**
24|*


hsa-mir-16-5p

11|*
13|****
14|****
15|****
16|*
17|*******
18|***
19|******
20|**
21|****


hsa-mir-98-5p

24|*
25|**
26|*********
27|********
28|*************
29|***


hsa-mir-22-3p

10|*
11|***
12|****
14|**
15|***
16|******
17|***
18|***
19|*
20|*****
21|**
22|**
25|*


hsa-mir-590-3p

22|*
24|*
25|**
26|******
27|*********
28|*******
29|*********
30|*


hsa-mir-1280

12|***
13|*
14|*****
15|*****
16|****
17|********
18|********
19|*
23|*


miRTC1

15|**********
16|***************
17|**********
20|*


miRTC

15|***********
16|**************
17|*********
18|*
20|*


hsa-mir-92a-3p

12|**
13|****
14|****
15|**
16|********
17|*******
18|****
19|***
20|**


hsa-mir-148a-3p

9|***
11|**
13|***
14|*****
15|**
16|*
17|*****
18|***
19|****
20|****
21|**
22|**


hsa-mir-136-5p

23|*
25|*******
26|****
27|****
28|**
29|***********
30|****
31|**
32|*


hsa-mir-486-5p

12|**
13|**
14|****
15|*****
16|**********
17|****
18|*******
19|**


hsa-mir-190a

25|*
26|*******
27|********
28|************
29|***
30|***
31|**


hsa-mir-450a-5p

25|*
26|****
28|*******
29|*********
30|**********
31|****
33|*


hsa-mir-9-5p

25|**
26|****
27|****
28|***
29|******
30|********
31|*****
32|****


hsa-mir-21-5p

9|*
10|**
11|**
12|****
13|***
14|****
15|*****
16|*****
17|***
18|******
20|*


hsa-mir-451a

8|*
9|*
10|**
11|***
12|****
13|*****
14|******
15|*******
16|*
17|**
18|***
19|*


hsa-mir-122-5p

6|**
7|*
9|***
10|***
11|****
12|****
13|**
14|***
15|*
16|*
17|**
18|*
20|***
21|****
22|**


cel-mir-391

10|****
11|*********
12|******
13|***
14|****
15|*
16|*
19|**
20|**
21|****


cel-mir-39

10|****
11|********
12|*******
13|***
14|****
15|*
16|*
19|**
20|***
21|***


hsa-mir-4516

8|*
9|*
10|*****
11|****
12|****
13|****
14|********
15|******
17|**
21|*
